agency_name,agency_url,agency_type,location,source,priority,status,notes
Funnel Boost Media,https://www.funnelboostmedia.net,SEO / PPC / web,San Antonio TX,Clutch/high intent,high,not_contacted,Strong SMB/local-business fit and repeatedly surfaced in search.
ScaledOn,https://www.scaledon.com,SEO / paid media,Austin TX,Clutch,medium,not_contacted,Interesting because ROI/growth framing fits SignalSift story.
Bless Web Designs,https://www.blesswebdesigns.com,Web design / SEO,Austin TX,Clutch,high,not_contacted,Smaller-feeling shop with SMB-facing services.
Jives Media,https://www.jivesmedia.com,SEO / PPC / advertising,San Francisco CA,Clutch,medium,not_contacted,Less ideal on size but clear outbound-adjacent value prop.
WebFX,https://www.webfx.com,SEO / web / social,Harrisburg PA,low fit source,low,not_contacted,Probably too large for first batch but useful benchmark.
Directive,https://directiveconsulting.com,Paid media / CRO,Irvine CA,Clutch/search,low,not_contacted,Probably too large and enterprise-oriented for phase 1.
Codedesign,https://codedesign.org,SEO / paid acquisition / optimization,Miami FL,Clutch/high intent,medium,not_contacted,Good service mix but may be more mid-market than SMB.
Miami Local SEO Pros,https://miamilocalseopros.com,Local SEO,Miami FL,Clutch/high intent,high,not_contacted,Strong local-agency angle and obvious SMB fit.
Ajroni,https://ajroni.com,Web design / SEO,Miami FL,Clutch,medium,not_contacted,Potential web/CRO fit.
Rock Salt Marketing Cooperative,https://www.rocksaltmarketing.com,SEO,Nashville TN,Clutch/high intent,high,not_contacted,Good niche/SEO focus and likely understandable use case.
Boostability,https://www.boostability.com,SEO,Lehi UT,Clutch,medium,not_contacted,Larger than ideal but SMB SEO positioning is relevant.
Ignite Visibility,https://ignitevisibility.com,SEO / paid media / CRO,San Diego CA,low fit source,low,not_contacted,Likely too large for first manual validation batch.
HigherVisibility,https://www.highervisibility.com,SEO / paid media,Memphis TN,search list,medium,not_contacted,Good category fit, probably larger than ideal.
OuterBox,https://www.outerboxdesign.com,SEO / paid search / web,Akron OH,search list,medium,not_contacted,Could be worth testing if SMB/ecom angle is strong.
Siege Media,https://www.siegemedia.com,SEO / content,San Diego CA,search list,low,not_contacted,Great agency but likely wrong fit for first outreach.
Silverback Strategies,https://silverbackstrategies.com,SEO / paid media / CRO,Alexandria VA,search list,low,not_contacted,Probably too established/large for first batch.
Thrive Internet Marketing Agency,https://thriveagency.com,SEO / PPC / web,Arlington TX,medium fit source,medium,not_contacted,Strong SMB orientation; worth testing.
First Page Sage,https://firstpagesage.com,SEO / thought leadership,San Francisco CA,medium fit source,medium,not_contacted,Interesting fit if they do outbound and value signal-based research.
Knapsack Creative,https://knapsackcreative.com,SEO / creative,unknown,search list,high,not_contacted,Smaller-feeling shop; likely better early-fit than larger agencies.
Embarque,https://www.embarque.io,SEO,remote,search list,medium,not_contacted,Clear SEO specialization; worth testing.
SeoProfy,https://seoprofy.com,SEO,Miami FL,search list,medium,not_contacted,SEO-focused; assess SMB fit.
LevelUp Leads,https://www.levelupleads.io,Lead gen / fractional SDR,New York NY,search list,medium,not_contacted,Adjacent segment; useful if agencies underperform.
SalesRoads,https://salesroads.com,Lead gen / outsourced SDR,United States,search list,low,not_contacted,More SDR-agency adjacent than core agency ICP.
Leadium,https://www.leadium.com,Lead generation,United States,search list,low,not_contacted,Adjacent GTM service firm; potential later segment.
Martal Group,https://martal.ca,Lead generation / fractional SDR,Toronto ON,search list,low,not_contacted,Adjacent segment; not first outreach priority.
